Floor,Location index,AVE (dBm),MED (dBm),Center Freq(MHz),Counts (/100),AP_name
3,aj,-71.75,-72,2437,44,AP-C2-1F-03
3,aj,-75.83333333,-75,2437,42,AP-C2-2F-02
3,aj,-63.96774194,-64,2437,93,AP-C2-2F-03
3,aj,-74.62790698,-75,2437,86,AP-C2-3F-01
3,aj,-56.56,-57,2437,100,AP-C2-3F-02
3,aj,-48.69,-48,2437,100,AP-C2-3F-03
3,aj,-78.90277778,-79,2437,72,AP-C2-4F-01
3,aj,-65.91,-65,2437,100,AP-C2-4F-02
3,aj,-53.56,-54,2437,100,AP-C2-4F-03
3,aj,-76.25,-77.5,2437,28,AP-C2-5F-02
3,aj,-70.08139535,-70,2437,86,AP-C2-5F-03
3,aj,-81.5,-81.5,2437,14,AP-C2-6F-03
3,aj,-81.16666667,-81.5,2437,42,AP-C3-3F-03
3,aj,-90.27272727,-90,5180,44,AP-C2-2F-02
3,aj,-81.35384615,-81,5180,65,AP-C2-2F-03
3,aj,-85,-85,5180,63,AP-C2-3F-01
3,aj,-72.22093023,-72,5180,86,AP-C2-3F-02
3,aj,-66.53,-67,5180,100,AP-C2-3F-03
3,aj,-86.45833333,-86,5180,72,AP-C2-4F-02
3,aj,-81.42,-82,5180,50,AP-C2-4F-03
3,ak,-83.08108108,-84,2437,37,AP-C-3F-01
3,ak,-75,-75,2437,35,AP-C2-1F-03
3,ak,-81.31914894,-81,2437,47,AP-C2-2F-02
3,ak,-62.94623656,-63,2437,93,AP-C2-2F-03
3,ak,-75.3655914,-76,2437,93,AP-C2-3F-01
3,ak,-63.87,-64,2437,100,AP-C2-3F-02
3,ak,-46.25,-46,2437,100,AP-C2-3F-03
3,ak,-92,-92,2437,7,AP-C2-4F-01
3,ak,-71.53,-72,2437,100,AP-C2-4F-02
3,ak,-52.92,-53,2437,100,AP-C2-4F-03
3,ak,-82.75,-83,2437,28,AP-C2-5F-02
3,ak,-69.98837209,-69,2437,86,AP-C2-5F-03
3,ak,-81.83783784,-82,2437,37,AP-C3-2F-03
3,ak,-68.76666667,-69,2437,60,AP-C3-3F-03
3,ak,-77.37078652,-78,5180,89,AP-C2-2F-03
3,ak,-86.81538462,-87,5180,65,AP-C2-3F-01
3,ak,-74.57303371,-74,5180,89,AP-C2-3F-02
3,ak,-60.64,-60,5180,100,AP-C2-3F-03
3,ak,-89.5625,-90,5180,16,AP-C2-4F-02
3,al,-80.5,-80.5,2437,42,AP-C2-1F-03
3,al,-80.75,-80.5,2437,28,AP-C2-2F-02
3,al,-49.81,-51,2437,100,AP-C2-2F-03
3,al,-75.12307692,-74,2437,65,AP-C2-3F-01
3,al,-62.32,-62,2437,100,AP-C2-3F-02
3,al,-39.82,-39,2437,100,AP-C2-3F-03
3,al,-85.25,-86.5,2437,28,AP-C2-4F-01
3,al,-78.66666667,-78,2437,63,AP-C2-4F-02
3,al,-63.31,-63,2437,100,AP-C2-4F-03
3,al,-73.51388889,-74,2437,72,AP-C2-5F-03
3,al,-85,-84,2437,35,AP-C3-3F-01
3,al,-82.33333333,-83,2437,21,AP-C3-3F-02
3,al,-66.72307692,-66,2437,65,AP-C3-3F-03
3,al,-91.625,-91,5180,56,AP-C2-1F-03
3,al,-70.59,-71,5180,100,AP-C2-2F-03
3,al,-84.33333333,-85,5180,42,AP-C2-3F-01
3,al,-73.37634409,-73,5180,93,AP-C2-3F-02
3,al,-54,-54,5180,100,AP-C2-3F-03
3,al,-79.27956989,-80,5180,93,AP-C2-4F-03
3,al,-87.48101266,-87,5180,79,AP-C3-3F-01
3,al,-91.33333333,-91,5180,42,AP-C3-3F-02
3,al,-84,-84,5180,2,AP-C3-3F-03
3,am,-84,-84,2437,7,AP-C-3F-01
3,am,-72.67692308,-73,2437,65,AP-C2-1F-03
3,am,-82.33333333,-82,2437,30,AP-C2-2F-02
3,am,-57.14,-57,2437,100,AP-C2-2F-03
3,am,-74.21538462,-74,2437,65,AP-C2-3F-01
3,am,-64.98924731,-64,2437,93,AP-C2-3F-02
3,am,-41.12,-41,2437,100,AP-C2-3F-03
3,am,-85.33333333,-85,2437,21,AP-C2-4F-01
3,am,-78.68055556,-79,2437,72,AP-C2-4F-02
3,am,-59.44,-60,2437,100,AP-C2-4F-03
3,am,-81.04545455,-81,2437,44,AP-C2-5F-02
3,am,-80.75,-81,2437,28,AP-C2-5F-03
3,am,-87,-87,2437,28,AP-C2-6F-03
3,am,-80,-80,2437,56,AP-C3-2F-03
3,am,-86,-86,2437,7,AP-C3-3F-01
3,am,-82,-82,2437,7,AP-C3-3F-02
3,am,-76.35294118,-76,2437,51,AP-C3-3F-03
3,am,-76.77419355,-77,5180,93,AP-C2-2F-03
3,am,-83.4,-83.5,5180,70,AP-C2-3F-02
3,am,-52.4,-52,5180,100,AP-C2-3F-03
3,am,-76.18181818,-76,5180,77,AP-C2-4F-03
3,am,-87.22222222,-88,5180,63,AP-C3-3F-02
3,am,-86,-86,5180,14,AP-C3-3F-03
3,an,-84.4,-83,2437,35,AP-C-3F-01
3,an,-75.85714286,-76,2437,49,AP-C2-1F-03
3,an,-87,-87,2437,7,AP-C2-2F-01
3,an,-83.05405405,-83,2437,37,AP-C2-2F-02
3,an,-61.65591398,-62,2437,93,AP-C2-2F-03
3,an,-73.27272727,-73,2437,77,AP-C2-3F-01
3,an,-70.03488372,-70,2437,86,AP-C2-3F-02
3,an,-38.65,-39,2437,100,AP-C2-3F-03
3,an,-82.8,-82,2437,35,AP-C2-4F-01
3,an,-77,-76,2437,84,AP-C2-4F-02
3,an,-64.6344086,-65,2437,93,AP-C2-4F-03
3,an,-81.5,-82,2437,28,AP-C2-5F-03
3,an,-82.11111111,-82,2437,63,AP-C3-2F-03
3,an,-78.14285714,-78,2437,49,AP-C3-3F-01
3,an,-79,-78.5,2437,42,AP-C3-3F-02
3,an,-71.81818182,-72,2437,77,AP-C3-3F-03
3,an,-76.69767442,-77,5180,86,AP-C2-2F-03
3,an,-82.93846154,-83,5180,65,AP-C2-3F-02
3,an,-57.09,-57,5180,100,AP-C2-3F-03
3,an,-90,-90,5180,7,AP-C2-4F-02
3,an,-84.51111111,-85,5180,45,AP-C2-4F-03
3,ao,-77.81081081,-78,2437,37,AP-C-3F-01
3,ao,-86,-86,2437,7,AP-C2-1F-03
3,ao,-83,-83,2437,7,AP-C2-2F-02
3,ao,-63.49,-63,2437,100,AP-C2-2F-03
3,ao,-78.5,-78.5,2437,14,AP-C2-3F-01
3,ao,-66.65,-67,2437,100,AP-C2-3F-02
3,ao,-48.1,-48,2437,100,AP-C2-3F-03
